Journal of Neural Transmission,paper_titles,ISSN,eISSN,Impact_factor
2894,Mathematical Notes,0001-4346,1573-8876,0.6 (2022)
2895,"Mathematical Physics, Analysis and Geometry",,,1.0 (2022)
2896,Mathematical Programming,0025-5610,1436-4646,2.7 (2022)
2897,Mathematical Programming Computation,1867-2949,1867-2957,6.3 (2022)
2898,Mathematical Sciences,,,2.0 (2022)
2899,Mathematics Education Research Journal,1033-2170,2211-050X,1.8 (2022)
2900,Mathematics and Financial Economics,1862-9679,1862-9660,1.6 (2022)
2901,Mathematics in Computer Science,1661-8270,1661-8289,0.8 (2022)
2902,"Mathematics of Control, Signals, and Systems",0932-4194,1435-568X,1.2 (2022)
2903,Mathematics-in-Industry Case Studies,,,
2904,Mathematische Annalen,0025-5831,1432-1807,1.4 (2022)
2905,Mathematische Semesterberichte,0720-728X,1432-1815,8 days
2906,Mathematische Zeitschrift,0025-5874,1432-1823,0.8 (2022)
2907,Maxillofacial Plastic and Reconstructive Surgery,,,
2908,Measurement Instruments for the Social Sciences,,,
2909,Measurement Techniques,0543-1972,1573-8906,"46,371 (2022)"
2910,Meccanica,0025-6455,1572-9648,2.7 (2022)
2911,Mechanics of Advanced Materials and Modern Processes,,,
2912,Mechanics of Composite Materials,0191-5665,1573-8922,1.7 (2022)
2913,Mechanics of Soft Materials,2524-5600,2524-5619,6 days
2914,Mechanics of Solids,0025-6544,1934-7936,0.7 (2022)
2915,Mechanics of Time-Dependent Materials,1385-2000,1573-2738,2.5 (2022)
,,,,
2917,Medical & Biological Engineering & Computing,0140-0118,1741-0444,3.2 (2022)
2918,Medical Gas Research,,,
2919,Medical Immunology,,,
2920,Medical Microbiology and Immunology,0300-8584,1432-1831,5.4 (2022)
2921,Medical Molecular Morphology,1860-1480,1860-1499,1.8 (2022)
2922,Medical Oncology,1357-0560,1559-131X,3.4 (2022)
2923,Medical Science Educator,,,1.7 (2022)
2924,Medical and Surgical Dermatology,,,
2925,Medicinal Chemistry Research,1054-2523,1554-8120,2.6 (2022)
2926,Medicine Studies,,,
2927,"Medicine, Health Care and Philosophy",1386-7423,1572-8633,2.1 (2022)
2928,Medisch Farmaceutische Mededelingen,,,
2929,Mediterranean Geoscience Reviews,2661-863X,2661-8648,7 days
2930,Mediterranean Journal of Mathematics,1660-5446,1660-5454,1.1 (2022)
2931,Mediterranean Journal of Nutrition and Metabolism,,,
2932,Medizinische Klinik - Intensivmedizin und Notfallmedizin,,,1.1 (2022)
2933,Medizinrecht,0723-8886,1433-8629,"87,026 (2022)"
2934,Mednet,,,
2935,Membranes and Membrane Technologies,2517-7516,2517-7524,1.6 (2022)
2936,Memetic Computing,1865-9284,1865-9292,4.7 (2022)
2937,Memory & Cognition,0090-502X,1532-5946,2.4 (2022)
2938,Mental Health Services Research,,,
2939,Metabolic Brain Disease,,,3.6 (2022)
2940,Metabolomics,,,3.6 (2022)
2941,Metacognition and Learning,1556-1623,1556-1631,3.3 (2022)
2942,Metal Science and Heat Treatment,0026-0673,1573-8973,0.6 (2022)
2943,"Metallography, Microstructure, and Analysis",,,1.6 (2022)
2944,Metallurgical and Materials Transactions A,,,2.8 (2022)
2945,Metallurgical and Materials Transactions B,,,3.0 (2022)
2946,Metallurgical and Materials Transactions E,,,
2947,Metallurgist,0026-0894,1573-8892,0.9 (2022)
2948,Metals and Materials International,1598-9623,2005-4149,3.5 (2022)
2949,Metaphysica,,,
2950,Metascience,0815-0796,1467-9981,"60,836 (2022)"
2951,Meteorology and Atmospheric Physics,0177-7971,1436-5065,2.0 (2022)
2952,Methodology and Computing in Applied Probability,1387-5841,1573-7713,0.9 (2022)
2953,Methods in Cell Science,,,
2954,Metrika,0026-1335,1435-926X,0.7 (2022)
2955,Micro and Nano Systems Letters,,,
2956,Microbial Cell Factories,,,
2957,Microbial Ecology,0095-3628,1432-184X,3.6 (2022)
2958,Microbial Informatics and Experimentation,,,
2959,Microbiology,0026-2617,1608-3237,1.5 (2022)
2960,Microbiome,,,
2961,Microchimica Acta,0026-3672,1436-5073,5.7 (2022)
2962,Microfluidics and Nanofluidics,,,2.8 (2022)
2963,Microgravity Science and Technology,,,1.8 (2022)
2964,Microplastics and Nanoplastics,,,
2965,Microsystem Technologies,0946-7076,1432-1858,2.1 (2022)
2966,Middle East Current Psychiatry,,,
2967,Middle East Fertility Society Journal,,,
2968,Migration Statistics Quarterly Report,,,
2969,Mikrochemie,,,
2970,Milan Journal of Mathematics,1424-9286,1424-9294,1.7 (2022)
2971,Military Medical Research,,,
2972,Mind & Society,1593-7879,1860-1839,154 days
2973,Mindfulness,1868-8527,1868-8535,3.6 (2022)
2974,Minds and Machines,0924-6495,1572-8641,7.4 (2022)
2975,Mine Water and the Environment,1025-9112,1616-1068,2.8 (2022)
2976,Mineral Economics,2191-2203,2191-2211,2.5 (2022)
2977,Mineralium Deposita,0026-4598,1432-1866,4.8 (2022)
2978,Mineralogy and Petrology,0930-0708,1438-1168,1.8 (2022)
2979,Minerva,0026-4695,1573-1871,2.3 (2022)
2980,"Mining, Metallurgy & Exploration",2524-3462,2524-3470,1.9 (2022)
2981,Mitigation and Adaptation Strategies for Global Change,1381-2386,1573-1596,4.0 (2022)
2982,Mobile DNA,,,
2983,Mobile Networks and Applications,1383-469X,1572-8153,3.8 (2022)
2984,Modeling Earth Systems and Environment,2363-6203,2363-6211,3.0 (2022)
2985,Modern Rheumatology,,,
2986,Molecular & Cellular Toxicology,1738-642X,2092-8467,1.7 (2022)
2987,Molecular Autism,,,
2988,Molecular Biology,0026-8933,1608-3245,1.2 (2022)
2989,Molecular Biology Reports,0301-4851,1573-4978,2.8 (2022)
,,,,
2991,Molecular Biotechnology,1073-6085,1559-0305,2.6 (2022)
2992,Molecular Brain,,,
2993,Molecular Breeding,1380-3743,1572-9788,3.1 (2022)
2994,Molecular Cancer,,,
2995,Molecular Cytogenetics,,,
2996,Molecular Diagnosis & Therapy,1177-1062,1179-2000,4.0 (2022)
2997,Molecular Diversity,,,3.8 (2022)
2998,Molecular Engineering,,,
2999,Molecular Genetics and Genomics,1617-4615,1617-4623,3.1 (2022)
3000,"Molecular Genetics, Microbiology and Virology",0891-4168,1934-841X,0.5 (2022)
3001,Molecular Horticulture,,,
3002,Molecular Imaging and Biology,1536-1632,1860-2002,3.1 (2022)
3003,Molecular Medicine,,,
3004,Molecular Neurobiology,0893-7648,1559-1182,5.1 (2022)
3005,Molecular Neurodegeneration,,,
3006,Molecular Pain,,,
3007,Molecular and Cellular Biochemistry,0300-8177,1573-4919,4.3 (2022)
3008,Molecular and Cellular Pediatrics,,,
3009,Molecular and Cellular Therapies,,,
3010,Molecular and chemical neuropathology,,,
3011,Molecules,,,
3012,Molecules Online,,,
3013,Molecules and Cells,,,
3014,Monash Bioethics Review,1321-2753,1836-6716,1.6 (2022)
3015,Monatshefte für Chemie - Chemical Monthly,0026-9247,1434-4475,1.8 (2022)
3016,Monatshefte für Mathematik,0026-9255,1436-5081,0.9 (2022)
3017,Monatsschrift Kinderheilkunde,0026-9298,1433-0474,0.4 (2022)
3018,Mondhygienisten vademecum,,,
3019,Monthly Digest of Statistics,,,
3020,Moroccan Journal of Pure and Applied Analysis,,,
3021,Morphology,1871-5621,1871-5656,1.4 (2022)
3022,Moscow University Biological Sciences Bulletin,0096-3925,1934-791X,"13,565 (2022)"
3023,Moscow University Chemistry Bulletin,0027-1314,1935-0260,0.7 (2022)
3024,Moscow University Computational Mathematics and Cybernetics,0278-6419,1934-8428,"1,778 (2022)"
3025,Moscow University Geology Bulletin,0145-8752,1934-8436,0.4 (2022)
3026,Moscow University Mathematics Bulletin,0027-1322,1934-8444,0.4 (2022)
3027,Moscow University Mechanics Bulletin,0027-1330,1934-8452,0.3 (2022)
3028,Moscow University Physics Bulletin,0027-1349,1934-8460,0.3 (2022)
3029,Moscow University Soil Science Bulletin,0147-6874,1934-7928,"4,034 (2022)"
3030,Motivation and Emotion,0146-7239,1573-6644,4.8 (2022)
3031,Movement Ecology,,,
3032,Multibody System Dynamics,1384-5640,1573-272X,3.4 (2022)
3033,Multidimensional Systems and Signal Processing,0923-6082,1573-0824,2.5 (2022)
3034,Multidisciplinary Respiratory Medicine,,,
3035,Multilingual Education,,,
3036,Journal of the Indian Society of Remote Sensing,0255-660X,0974-3006,2.5 (2022)
3037,Journal of the International AIDS Society,,,
3038,Journal of the International Society of Sports Nutrition,,,
3039,Journal of the Iranian Chemical Society,1735-207X,1735-2428,2.4 (2022)
3040,Journal of the Knowledge Economy,1868-7865,1868-7873,3.3 (2022)
3041,Journal of the Korean Ceramic Society,1229-7801,2234-0491,2.5 (2022)
3042,Journal of the Korean Physical Society,0374-4884,1976-8524,0.6 (2022)
3043,Journal of the Korean Statistical Society,1226-3192,2005-2863,0.6 (2022)
3044,Journal of the Operational Research Society,,,
3045,Journal of the Operations Research Society of China,2194-668X,2194-6698,1.4 (2022)
3046,Journal on Data Semantics,,,
3047,Journal on Multimodal User Interfaces,1783-7677,1783-8738,2.9 (2022)
3048,Journal on Vehicle Routing Algorithms,,,
3049,Juristische Blätter,,,
3050,Jus Cogens,2524-3977,2524-3985,8 days
3051,GEM - International Journal on Geomathematics,1869-2672,1869-2680,1.8 (2022)
3052,GPS Solutions,1080-5370,1521-1886,4.9 (2022)
3053,GSTF Journal of Advances in Medical Research (JAMR),,,
3054,GSTF Journal of BioSciences (JBio),,,
3055,GSTF Journal of Chemical Sciences (JChem),,,
3056,GSTF Journal of Engineering Technology (JET),,,
3057,GSTF Journal of General Philosophy (JPhilo),,,
3058,GSTF Journal of Geological Sciences (JGS),,,
3059,GSTF Journal of Law and Social Sciences (JLSS),,,
3060,"GSTF Journal of Mathematics, Statistics and Operations Research (JMSOR)",,,
3061,GSTF Journal of Music (JMusic),,,
3062,GSTF Journal of Nursing and Health Care (JNHC),,,
3063,GSTF Journal of Physics and Applications (JPA),,,
3064,GSTF Journal of Psychology (JPsych),,,
3065,GSTF Journal of Veterinary Science (JVet),,,
3066,GSTF Journal on Agricultural Engineering (JAE),,,
3067,GSTF Journal on Aviation Technology (JAT),,,
3068,GSTF Journal on Business Review (GBR),,,
3069,GSTF Journal on Computing (JoC),,,
3070,GSTF Journal on Education (JEd),,,
3071,GSTF Journal on Media & Communications (JMC),,,
3072,GZ - Psychologie,1879-5080,1879-5099,"42,061 (2022)"
3073,Gastric Cancer,1436-3291,1436-3305,7.4 (2022)
3074,Gastro-News,1869-1005,2520-8667,"73,178 (2022)"
3075,Gefässchirurgie,0948-7034,1434-3932,0.3 (2022)
3076,Gender Issues,1098-092X,1936-4717,1.9 (2022)
3077,General Relativity and Gravitation,0001-7701,1572-9532,2.8 (2022)
3078,General Thoracic and Cardiovascular Surgery,1863-6705,1863-6713,1.2 (2022)
3079,General Thoracic and Cardiovascular Surgery Cases,,,
3080,Genes & Genomics,,,2.1 (2022)
3081,Genes & Nutrition,,,
3082,Genes and Environment,,,
3083,Genetic Programming and Evolvable Machines,1389-2576,1573-7632,2.6 (2022)
3084,Genetic Resources and Crop Evolution,0925-9864,1573-5109,2.0 (2022)
3085,Genetic Vaccines and Therapy,,,
3086,Genetica,0016-6707,1573-6857,1.5 (2022)
3087,Genetics Selection Evolution,,,
3090,Genome Integrity,,,
3092,Genus,,,
3094,Geo-spatial Information Science,,,
3095,GeoInformatica,1384-6175,1573-7624,2.0 (2022)
3096,GeoJournal,0343-2521,1572-9893,2.7 (2022)
3097,Geochemical Transactions,,,
3098,Geochemistry International,0016-7029,1556-1968,0.8 (2022)
3099,Geochronometria,,,
3100,Geoenvironmental Disasters,,,
3101,Geography and Natural Resources,1875-3728,1875-371X,0.3 (2022)
3102,Geoheritage,1867-2477,1867-2485,2.9 (2022)
3103,Geologie en Mijnbouw,,,
3104,Geology of Ore Deposits,1075-7015,1555-6476,0.7 (2022)
3105,Geomagnetism and Aeronomy,0016-7932,1555-645X,0.6 (2022)
3107,Geometriae Dedicata,0046-5755,1572-9168,0.5 (2022)
3108,Geometric and Functional Analysis,1016-443X,1420-8970,2.2 (2022)
3109,Georgian Mathematical Journal,,,
3110,Geoscience Letters,,,
3111,Geosciences Journal,1226-4806,1598-7477,1.2 (2022)
3112,Geotechnical and Geological Engineering,0960-3182,1573-1529,1.7 (2022)
3113,Geotectonics,0016-8521,1556-1976,1.1 (2022)
3114,Geothermal Energy,,,
3115,Geriatric Nephrology and Urology,,,
3116,Geriatrie-Report,,,
3117,German Journal of Exercise and Sport Research,2509-3142,2509-3150,1.3 (2022)
3118,GeroScience,,,5.6 (2022)
3119,Geron,,,
3120,Gesunde Pflanzen,0367-4223,1439-0345,3.1 (2022)
3121,Gezinstherapie Wereldwijd,1566-0206,1876-5874,"3,291 (2022)"
3122,GigaScience,,,
3123,Giornale Italiano di Health Technology Assessment,,,
3124,Glass Physics and Chemistry,1087-6596,1608-313X,0.7 (2022)
3125,Glass Structures & Engineering,2363-5142,2363-5150,1.9 (2022)
3126,Glass and Ceramics,0361-7610,1573-8515,0.6 (2022)
3127,Global Business Perspectives,,,
3128,Global Change & Human Health,,,
3129,Global Health Research and Policy,,,
3130,Global Implementation Research and Applications,,,14 days
3131,Global Journal of Flexible Systems Management,0972-2696,0974-0198,9 days
3132,Global Philosophy,2948-152X,2948-1538,0.5 (2022)
3133,Global Public Policy and Governance,2730-6291,2730-6305,7 days
3134,Global Social Welfare,,,1.4 (2022)
3135,Global Surgical Education - Journal of the Association for Surgical Education,,,18 days
3136,Globalization and Health,,,
3137,Glycoconjugate Journal,0282-0080,1573-4986,3.0 (2022)
3138,Glycosylation & Disease,,,
3139,Gold Bulletin,2364-821X,2190-7579,2.2 (2022)
3140,Graefe's Archive for Clinical and Experimental Ophthalmology,0721-832X,1435-702X,2.7 (2022)
3141,Grammars,,,
3142,Granular Computing,2364-4966,2364-4974,5.5 (2022)
3143,Granular Matter,1434-5021,1434-7636,2.4 (2022)
3144,Graphene and 2D Materials,2731-6505,2731-6513,10 days
3145,Graphs and Combinatorics,0911-0119,1435-5914,0.7 (2022)
3146,Gravitation and Cosmology,0202-2893,1995-0721,0.9 (2022)
3148,Group,,,
3149,Group Decision and Negotiation,0926-2644,1572-9907,3.0 (2022)
3150,Grundwasser,1430-483X,1432-1165,0.7 (2022)
3151,Gruppe. Interaktion. Organisation. Zeitschrift für Angewandte Organisationspsychologie (GIO),2366-6145,2366-6218,14 days
3152,Gut Pathogens,,,
3153,Gynecologic Oncology Research and Practice,,,
3155,Gynäkologische Endokrinologie,1610-2894,1610-2908,0.2 (2022)
3156,Gyroscopy and Navigation,2075-1087,2075-1109,"13,206 (2022)"
3157,gynäkologie + geburtshilfe,1439-3557,2196-6435,"254,243 (2022)"
3158,EJNMMI Physics,,,
3159,EJNMMI Radiopharmacy and Chemistry,,,
3160,EJNMMI Research,,,
3161,EPJ Data Science,,,
3162,EPJ Nonlinear Biomedical Physics,,,
3163,EPJ Quantum Technology,,,
3164,EPJ Techniques and Instrumentation,,,
3165,EPJ direct,,,
3166,EPMA Journal,,,6.5 (2022)
3167,ERA Forum,1612-3093,1863-9038,"164,656 (2022)"
3168,EURASIP Journal on Advances in Signal Processing,,,
3169,"EURASIP Journal on Audio, Speech, and Music Processing",,,
3170,EURASIP Journal on Bioinformatics and Systems Biology,,,
3171,EURASIP Journal on Embedded Systems,,,
3172,EURASIP Journal on Image and Video Processing,,,
3173,EURASIP Journal on Information Security,,,
3174,EURASIP Journal on Wireless Communications and Networking,,,
3175,EURO Journal on Computational Optimization,,,
3176,EURO Journal on Decision Processes,,,
3177,EURO Journal on Transportation and Logistics,,,
3178,Early Childhood Education Journal,1082-3301,1573-1707,2.7 (2022)
3179,Earth Perspectives,,,
3180,Earth Science Informatics,1865-0473,1865-0481,2.8 (2022)
3181,Earth Systems and Environment,2509-9426,2509-9434,7.2 (2022)
3182,"Earth, Moon, and Planets",0167-9295,1573-0794,0.9 (2022)
3183,"Earth, Planets and Space",,,
3184,Earthquake Engineering and Engineering Vibration,1671-3664,1993-503X,2.8 (2022)
3185,Earthquake Science,,,
3186,East Asia,1096-6838,1874-6284,0.6 (2022)
3187,East Asian Community Review,,,
3188,"East Asian Science, Technology and Society: an International Journal",,,
3193,Ecological Processes,,,
3194,Ecological Research,,,
3195,Economia Politica,1120-2890,1973-820X,1.8 (2022)
3196,Economic & Labour Market Review,,,
3197,Economic Botany,,,2.6 (2022)
3198,Economic Bulletin,,,
3199,Economic Change and Restructuring,1573-9414,1574-0277,3.1 (2022)
3200,Economic Theory,0938-2259,1432-0479,1.3 (2022)
3201,Economic Theory Bulletin,,,0.3 (2022)
3202,Economics of Disasters and Climate Change,2511-1280,2511-1299,6 days
3203,Economics of Governance,1435-6104,1435-8131,0.9 (2022)
3204,Ecosystems,1432-9840,1435-0629,3.7 (2022)
3205,Ecotoxicology,0963-9292,1573-3017,2.7 (2022)
3206,Education and Information Technologies,1360-2357,1573-7608,5.5 (2022)
3207,Education and Treatment of Children,0748-8491,1934-8924,"29,079 (2022)"
3208,"Educational Assessment, Evaluation and Accountability",1874-8597,1874-8600,3.9 (2022)
3209,Educational Psychology Review,1040-726X,1573-336X,10.1 (2022)
3210,Educational Research for Policy and Practice,1570-2081,1573-1723,1.8 (2022)
3211,Educational Studies in Mathematics,0013-1954,1573-0816,3.2 (2022)
3212,Educational technology research and development,1042-1629,1556-6501,5.0 (2022)
3213,Egyptian Journal of Biological Pest Control,,,
3214,Egyptian Journal of Forensic Sciences,,,
3215,Egyptian Journal of Medical Human Genetics,,,
3216,Egyptian Journal of Neurosurgery,,,
3217,Egyptian Journal of Radiology and Nuclear Medicine,,,
3218,Egyptian Liver Journal,,,
3219,Egyptian Pediatric Association Gazette,,,
3220,Egyptian Rheumatology and Rehabilitation,,,
3221,Electrical Engineering,0948-7921,1432-0487,1.8 (2022)
3222,Electrocatalysis,1868-2529,1868-5994,3.1 (2022)
3223,Electrochemical Energy Reviews,2520-8489,2520-8136,31.3 (2022)
3224,Electronic Commerce Research,1389-5753,1572-9362,3.9 (2022)
3225,Electronic Markets,,,8.5 (2022)
3226,Electronic Materials Letters,1738-8090,2093-6788,2.4 (2022)
3227,Elemente der Mathematik,,,
3228,Emergency Cancer Care,,,
3229,Emergency Radiology,,,2.2 (2022)
3230,Emergent Materials,2522-5731,2522-574X,3.8 (2022)
3231,Emerging Themes in Epidemiology,,,
3232,Emission Control Science and Technology,2199-3629,2199-3637,1.6 (2022)
3233,Empirica,0340-8744,1573-6911,1.3 (2022)
3234,Empirical Economics,0377-7332,1435-8921,3.2 (2022)
3235,Empirical Research in Vocational Education and Training,,,
3236,Empirical Software Engineering,1382-3256,1573-7616,4.1 (2022)
3237,Employee Responsibilities and Rights Journal,0892-7545,1573-3378,1.1 (2022)
3238,Endocrine,,,3.7 (2022)
3239,Endocrine Pathology,1046-3976,1559-0097,4.4 (2022)
3240,Energy Efficiency,1570-646X,1570-6478,3.1 (2022)
3241,Energy Informatics,,,
3242,Energy Systems,1868-3967,1868-3975,2.3 (2022)
3243,Energy Transitions,,,
3244,"Energy, Ecology and Environment",2363-7692,2363-8338,4.4 (2022)
3245,"Energy, Sustainability and Society",,,
3246,Engineering with Computers,0177-0667,1435-5663,8.7 (2022)
3247,English Teaching & Learning,1023-7267,2522-8560,1.6 (2022)
3248,Entomological Review,0013-8738,1555-6689,"20,465 (2022)"
3249,Entrepreneurship Education,2520-8144,2520-8152,8 days
3250,Environment Systems and Decisions,2194-5403,2194-5411,5 days
3251,"Environment, Development and Sustainability",1387-585X,1573-2975,4.9 (2022)
3252,Environmental Biology of Fishes,0378-1909,1573-5133,1.4 (2022)
3253,Environmental Chemistry Letters,,,15.7 (2022)
3254,Environmental Earth Sciences,1866-6280,1866-6299,2.8 (2022)
3255,Environmental Economics and Policy Studies,1432-847X,1867-383X,1.7 (2022)
3256,Environmental Engineering and Policy,,,
3257,Environmental Evidence,,,
3258,Environmental Fluid Mechanics,1567-7419,1573-1510,2.2 (2022)
3259,Environmental Geochemistry and Health,0269-4042,1573-2983,4.2 (2022)
3260,Environmental Geology,,,
3261,Environmental Health,,,
3262,Environmental Health and Preventive Medicine,,,
3263,Environmental Management,0364-152X,1432-1009,3.5 (2022)
3264,Environmental Microbiome,,,
3265,Environmental Modeling & Assessment,1420-2026,1573-2967,2.4 (2022)
3266,Environmental Monitoring and Assessment,0167-6369,1573-2959,3.0 (2022)
3267,Environmental Processes,2198-7491,2198-7505,4.4 (2022)
3268,Environmental Science and Pollution Research,,,5.8 (2022)
3269,Environmental Sciences Europe,,,
3270,Environmental Sustainability,,,14 days
3271,Environmental Systems Research,,,
3272,Environmental and Ecological Statistics,1352-8505,1573-3009,3.8 (2022)
3273,Environmental and Resource Economics,0924-6460,1573-1502,5.9 (2022)
3274,Epidemiologic Perspectives & Innovations,,,
3275,Epigenetics & Chromatin,,,
3276,Epigenetics Communications,,,
3277,Epileptic Disorders,,,
3278,Erkenntnis,0165-0106,1572-8420,0.9 (2022)
3279,Ernährung - Wissenschaft und Praxis,,,
3280,Erwerbs-Obstbau,0014-0309,1439-0302,1.3 (2022)
3281,Erziehungswissenschaft,,,
3282,Esophagus,1612-9059,1612-9067,2.4 (2022)
3283,Estuaries and Coasts,1559-2723,1559-2731,2.7 (2022)
3284,Ethical Theory and Moral Practice,1386-2820,1572-8447,1.0 (2022)
3285,Ethics and Information Technology,1388-1957,1572-8439,3.6 (2022)
3286,Ethik in der Medizin,0935-7335,1437-1618,0.6 (2022)
3287,Euphytica,0014-2336,1573-5060,1.9 (2022)
3288,Eurasian Business Review,,,3.5 (2022)
3289,Eurasian Economic Review,,,3.4 (2022)
3290,Eurasian Soil Science,1064-2293,1556-195X,1.4 (2022)
3291,Euro-Mediterranean Journal for Environmental Integration,2365-6433,2365-7448,2.0 (2022)
3292,European Actuarial Journal,2190-9733,2190-9741,1.2 (2022)
3293,European Archives of Oto-Rhino-Laryngology,0937-4477,1434-4726,2.6 (2022)
3294,European Archives of Paediatric Dentistry,1818-6300,1996-9805,2.2 (2022)
3295,European Archives of Psychiatry and Clinical Neuroscience,0940-1334,1433-8491,4.7 (2022)
3296,European Biophysics Journal,0175-7571,1432-1017,2.0 (2022)
3297,European Business Organization Law Review,1566-7529,1741-6205,2.1 (2022)
3298,European Child & Adolescent Psychiatry,1018-8827,1435-165X,6.4 (2022)
3299,European Clinics in Obstetrics and Gynaecology,,,
3300,European Cytokine Network,,,2.8 (2022)
3301,European Demographic Information Bulletin,,,
3302,European Food Research and Technology,1438-2377,1438-2385,3.3 (2022)
3303,European Geriatric Medicine,,,3.8 (2022)
3304,European Journal for Education Law and Policy,,,
3305,European Journal for Philosophy of Science,1879-4912,1879-4920,1.5 (2022)
3306,European Journal for Security Research,2365-0931,2365-1695,"42,967 (2022)"
3308,European Journal of Applied Physiology,1439-6319,1439-6327,3.0 (2022)
3309,European Journal of Clinical Microbiology & Infectious Diseases,0934-9723,1435-4373,4.5 (2022)
3310,European Journal of Clinical Pharmacology,0031-6970,1432-1041,2.9 (2022)
3311,European Journal of Dermatology,,,2.5 (2022)
3312,European Journal of Drug Metabolism and Pharmacokinetics,0378-7966,2107-0180,1.9 (2022)
3313,European Journal of Epidemiology,0393-2990,1573-7284,13.6 (2022)
3314,European Journal of Forest Research,1612-4669,1612-4677,2.8 (2022)
3315,European Journal of Futures Research,,,
3316,European Journal of Hybrid Imaging,,,
3317,European Journal of Information Systems,,,
3318,European Journal of Law and Economics,,,1.3 (2022)
3319,European Journal of Mathematics,2199-675X,2199-6768,0.6 (2022)
3320,European Journal of Medical Research,,,
3321,European Journal of Nuclear Medicine and Molecular Imaging,1619-7070,1619-7089,9.1 (2022)
3322,European Journal of Nutrition,1436-6207,1436-6215,5.0 (2022)
3323,European Journal of Orthopaedic Surgery & Traumatology,,,9 days
3324,European Journal of Pediatrics,,,3.6 (2022)
3325,European Journal of Plant Pathology,0929-1873,1573-8469,1.8 (2022)
3326,European Journal of Plastic Surgery,0930-343X,1435-0130,0.5 (2022)
3327,European Journal of Political Research,,,
3329,European Journal of Psychology of Education,0256-2928,1878-5174,3.0 (2022)
3330,European Journal of Trauma and Emergency Surgery,1863-9933,1863-9941,2.1 (2022)
3331,European Journal of Wildlife Research,1612-4642,1439-0574,2.0 (2022)
3332,European Journal of Wood and Wood Products,0018-3768,1436-736X,2.6 (2022)
3333,European Journal on Criminal Policy and Research,0928-1371,1572-9869,1.7 (2022)
3334,European Orthopaedics and Traumatology,,,
3336,European Radiology,,,5.9 (2022)
3337,European Radiology Experimental,,,
3338,European Radiology Supplements,,,
3339,European Review of Aging and Physical Activity,,,
3340,European Spine Journal,0940-6719,1432-0932,2.8 (2022)
3341,European Surgery,1682-8631,1682-4016,0.6 (2022)
3342,European Transport Research Review,,,
3343,European View,,,
3344,Europhysics News,,,
3345,Europäisches Journal für Minderheitenfragen,,,
3346,Evidence-Based Endodontics,,,
3347,Evidence-Based Integrative Medicine,,,
3348,EvoDevo,,,
3349,Evolution: Education and Outreach,,,
3350,Evolutionary Biology,,,2.5 (2022)
3351,Evolutionary Ecology,0269-7653,1573-8477,1.9 (2022)
3352,Evolutionary Intelligence,1864-5909,1864-5917,2.6 (2022)
3353,Evolutionary Psychological Science,,,1.5 (2022)
3354,Evolutionary and Institutional Economics Review,1349-4961,2188-2096,0.9 (2022)
3355,Evolving Systems,1868-6478,1868-6486,3.2 (2022)
3356,ExRNA,,,
3357,Experimental & Translational Stroke Medicine,,,
3358,DARU Journal of Pharmaceutical Sciences,,,3.6 (2022)
3359,DECISION,0304-0941,2197-1722,1.5 (2022)
3360,DGNeurologie,2524-3446,2524-3454,"41,096 (2021)"
3361,DNP – Die Neurologie & Psychiatrie,2731-8168,2731-8176,"211,923 (2022)"
3362,Dagbesteding,2589-2401,2589-241X,"7,332 (2021)"
3363,Dairy Science & Technology,,,
3364,Dao,1540-3009,1569-7274,0.4 (2022)
3365,Das österreichische Gesundheitswesen ÖKZ,0472-5530,2730-7271,"32,044 (2022)"
3366,Data Mining and Knowledge Discovery,1384-5810,1573-756X,4.8 (2022)
3367,Data Science and Engineering,2364-1185,2364-1541,4.2 (2022)
3368,Data Science for Transportation,2948-135X,2948-1368,45 days
3369,Data-Enabled Discovery and Applications,,,
3370,Datenbank-Spektrum,,,12 days
3371,Datenschutz und Datensicherheit - DuD,1614-0702,1862-2607,"119,160 (2022)"
3372,De Economist,0013-063X,1572-9982,1.6 (2022)
3373,De Verpleegkundig Specialist,,,
3374,Debates in Neuroscience,,,
3375,Decision Analytics,,,
3376,Decisions in Economics and Finance,1593-8883,1129-6569,1.1 (2022)
3377,Demography,,,
3378,Denkbeeld,0926-7182,1876-5653,"51,269 (2022)"
3379,Der Freie Zahnarzt,0340-1766,2190-3824,"127,032 (2022)"
3380,Der Hausarzt,,,
3381,Der Nervenarzt,0028-2804,1433-0407,1.1 (2022)
3382,Der Schmerz,0932-433X,1432-2129,1.0 (2022)
3383,"Der Urologe, Ausgabe B",,,
3384,Dermatology and Therapy,2193-8210,2190-9172,3.4 (2022)
3385,Design Automation for Embedded Systems,0929-5585,1572-8080,1.4 (2022)
3386,"Designs, Codes and Cryptography",0925-1022,1573-7586,1.6 (2022)
3387,Deutsche Vierteljahrsschrift für Literaturwissenschaft und Geistesgeschichte,0012-0936,2365-9521,0.3 (2022)
3388,Deutsche Zeitschrift für Akupunktur,0415-6412,1439-4359,0.1 (2022)
3389,Deutsches und Europäisches Familienrecht,,,
3391,Development Genes and Evolution,0949-944X,1432-041X,2.4 (2022)
3392,Diabetes Therapy,1869-6953,1869-6961,3.8 (2022)
3393,Diabetologia,0012-186X,1432-0428,8.2 (2022)
3394,Diabetologia Notes de lecture,,,
3395,Diabetology & Metabolic Syndrome,,,
3396,Diabetology International,2190-1678,2190-1686,2.2 (2022)
